name,price,brand,top_notes,middle_notes,base_notes,reviews,url
9AM DIVE,"4,500/=",AFNAN,"Top notes: Mint, Lemon, Pink Pepper and Black Currant.<br>
Middle notes: Apple, Incense and Cedar.<br>
Base notes: Patchouli, Ginger, Jasmine and Sandalwood.","Apple, Incense and Cedar.","Patchouli, Ginger, Jasmine and Sandalwood.",No Reviews Available,https://middleeasternscents.co.ke/product/9am-dive/
9PM,"4,500/=",,"Top notes: Apple, Cinnamon, Wild Lavender and Bergamot.<br>
Middle notes: Orange Blossom and Lily-of-the-Valley.<br>
Base notes: Vanilla, Tonka Bean, Amber and Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/9pm/
ADEEB,"3,600/=",,"Top notes: Cinnamon, Vanilla, Tobacco.<br>
Middle notes: Moroccan spices, Herbs, Thyme, Clove, Smoky notes, Oud.<br>
Base notes: Black amber, Patchouli, Cedarwood, Sandalwood, Musk.","Moroccan spices, Herbs, Thyme, Clove, Smoky notes, Oud.","Black amber, Patchouli, Cedarwood, Sandalwood, Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/adeeb/
ADWAA AL SHARQ,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/adwaa-al-sharq/
AFEEF,"3,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/afeef/
AFFECTION,"3,900/=",,"Top notes: Pistachio, Hazelnut, Cassis Buds.<br>
Middle notes: Lily Of the Valley, Jasmine, Raspberry &amp; Lactonic.<br>
Base notes: Lactonic, Vanilla, Tonka Bean.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/affection/
AFFECTION 20ML,900/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/affection-20ml/
AJAYEB DUBAI,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ajayeb-dubai/
AJAYEB DUBAI PORTRAIT,"2,400/=",,Not Available,Not Available,Not Available,"1 REVIEW FOR AJAYEB DUBAI PORTRAIT
Rated 5 out of 5
Anne – September 13, 2024
This is such an interesting perfume. It unfolds a new layer with every sniff and you’ll enjoy it because it is definitely not boring. Let it macerate for a week or two and then experience how it unfolds. I enjoy it. Lovely customer service from the seller as well.
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/ajayeb-dubai-portrait/
AJWAA EDP,"5,400/=",,"Top notes: Date, Elemi, Bergamot",Not Available,"Base notes: Benzoin, Incense",No Reviews Available,https://middleeasternscents.co.ke/product/ajwaa-edp/
AJWAD,"2,700/=",,"Bergamot, Fruits, Litchi","Cinnamon, Jasmine, Rose","Amber, Ceder, Musk, Sandalwood, Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/ajwad-60ml-edp-by-lattafa/
AJWAD AIR FRESHENER,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ajwad-air-freshener/
AJWAD BODY SPRAY 200ML,500/=,,"Top notes: Fruity notes, Lychee, Bergamot.<br>
Middle notes: Jasmine, Rose, Cinnamon.<br>
Base notes: Cedar wood, Sandalwood, Vanilla, Amber, Musk.","Jasmine, Rose, Cinnamon.","Cedar wood, Sandalwood, Vanilla, Amber, Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/ajwad-body-spray-200ml/
AJWAD PINK TO PINK,"2,700/=",,"Top notes: Red Fruits, Lychee, Guava.<br>
Middle notes: Vanilla, Roses, Lily-of-the-valley.<br>
Base notes: Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ajwad-pink-to-pink/
AL AMEED,"5,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/al-ameed/
AL AREEQ SILVER 20ML,999/=,LATTAFA PRIDE,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/al-areeq-silver-20ml/
AL DANA 20 ML,900/=,NICHE EMARATI PERFUMES,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/al-dana-20-ml/
AL DIRGHAM,"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/al-dirgham/
